request_num,payload,attempt,protocol,size_bytes,time_connect_s,time_ttfb_s,time_transfer_s,time_total_s,speed_Bps,speed_KBps,speed_MBps
1,100kb.bin,1,QUIC/HTTP3,102459,0.000500,0.000380,0.000310,0.003,36051724,35206.762,34.382
2,100kb.bin,2,QUIC/HTTP3,102459,0.000490,0.000430,0.000370,0.003,37710342,36826.506,35.963
3,100kb.bin,3,QUIC/HTTP3,102459,0.000420,0.000330,0.000340,0.002,41447816,40476.383,39.528
4,100kb.bin,4,QUIC/HTTP3,102459,0.000470,0.000410,0.000360,0.003,39651316,38721.988,37.814
5,100kb.bin,5,QUIC/HTTP3,102459,0.000450,0.000270,0.000400,0.002,41922668,40940.105,39.981
6,100kb.bin,6,QUIC/HTTP3,102459,0.000440,0.000400,0.000360,0.003,40722973,39768.528,38.836
7,100kb.bin,7,QUIC/HTTP3,102459,0.000440,0.000410,0.000340,0.003,40771588,39816.004,38.883
8,100kb.bin,8,QUIC/HTTP3,102459,0.000420,0.000380,0.000260,0.002,43195194,42182.807,41.194
9,100kb.bin,9,QUIC/HTTP3,102459,0.000410,0.000330,0.000260,0.002,44011598,42980.076,41.973
10,100kb.bin,10,QUIC/HTTP3,102459,0.000450,0.000270,0.000390,0.002,41751834,40773.275,39.818
11,1mb.bin,1,QUIC/HTTP3,1048635,0.000430,0.000270,0.003790,0.006,181330624,177080.688,172.930
12,1mb.bin,2,QUIC/HTTP3,1048635,0.000440,0.000290,0.003710,0.006,181770671,177510.421,173.350
13,1mb.bin,3,QUIC/HTTP3,1048635,0.000430,0.000400,0.003280,0.005,193475092,188940.520,184.512
14,1mb.bin,4,QUIC/HTTP3,1048635,0.000450,0.000390,0.003260,0.005,193904401,189359.767,184.922
15,1mb.bin,5,QUIC/HTTP3,1048635,0.000450,0.000270,0.003840,0.006,178248343,174070.647,169.991
16,1mb.bin,6,QUIC/HTTP3,1048635,0.000440,0.000400,0.003800,0.006,176537879,172400.272,168.360
17,1mb.bin,7,QUIC/HTTP3,1048635,0.000450,0.000410,0.003780,0.006,175856951,171735.304,167.710
18,1mb.bin,8,QUIC/HTTP3,1048635,0.000440,0.000260,0.003120,0.005,199474035,194798.862,190.233
19,1mb.bin,9,QUIC/HTTP3,1048635,0.000430,0.000390,0.003180,0.005,197371542,192745.646,188.228
20,1mb.bin,10,QUIC/HTTP3,1048635,0.000480,0.000270,0.003730,0.006,180425843,176197.112,172.067
21,5mb.bin,1,QUIC/HTTP3,5242939,0.000440,0.000270,0.016110,0.018,288851248,282081.297,275.470
22,5mb.bin,2,QUIC/HTTP3,5242939,0.000440,0.000280,0.013120,0.015,344386429,336314.872,328.432
23,5mb.bin,3,QUIC/HTTP3,5242939,0.000440,0.000340,0.014080,0.016,324439295,316835.249,309.409
24,5mb.bin,4,QUIC/HTTP3,5242939,0.000620,0.000310,0.016230,0.018,283708820,277059.395,270.566
