request_num,payload,attempt,protocol,size_bytes,time_connect_s,time_ttfb_s,time_ttlb_s,time_total_s,speed_Bps,speed_KBps,speed_MBps
1,100kb.bin,1,QUIC/HTTP3,102459,0.000460,0.000270,0.000360,0.003,40545706,39595.416,38.667
2,100kb.bin,2,QUIC/HTTP3,102459,0.000460,0.000270,0.000410,0.002,41280822,40313.303,39.368
3,100kb.bin,3,QUIC/HTTP3,102459,0.000450,0.000270,0.000360,0.002,42112207,41125.202,40.161
4,100kb.bin,4,QUIC/HTTP3,102459,0.000460,0.000270,0.000410,0.002,42077618,41091.424,40.128
5,100kb.bin,5,QUIC/HTTP3,102459,0.000450,0.000420,0.000340,0.003,40529668,39579.754,38.652
6,100kb.bin,6,QUIC/HTTP3,102459,0.000450,0.000280,0.000380,0.003,40787818,39831.854,38.898
7,100kb.bin,7,QUIC/HTTP3,102459,0.000450,0.000260,0.000380,0.002,42268564,41277.895,40.310
8,100kb.bin,8,QUIC/HTTP3,102459,0.000410,0.000320,0.000260,0.002,44335353,43296.243,42.281
9,100kb.bin,9,QUIC/HTTP3,102459,0.000450,0.000270,0.000320,0.002,43917274,42887.963,41.883
10,100kb.bin,10,QUIC/HTTP3,102459,0.000410,0.000310,0.000270,0.002,44431483,43390.120,42.373
11,100kb.bin,11,QUIC/HTTP3,102459,0.000410,0.000330,0.000260,0.002,43249894,42236.225,41.246
12,100kb.bin,12,QUIC/HTTP3,102459,0.000430,0.000320,0.000270,0.002,43488540,42469.277,41.474
13,100kb.bin,13,QUIC/HTTP3,102459,0.000410,0.000320,0.000260,0.002,45076551,44020.069,42.988
14,100kb.bin,14,QUIC/HTTP3,102459,0.000450,0.000250,0.000400,0.002,42181556,41192.926,40.227
15,100kb.bin,15,QUIC/HTTP3,102459,0.000430,0.000310,0.000250,0.002,44011598,42980.076,41.973
16,100kb.bin,16,QUIC/HTTP3,102459,0.000450,0.000300,0.000230,0.002,45036923,43981.370,42.951
17,100kb.bin,17,QUIC/HTTP3,102459,0.000440,0.000270,0.000360,0.002,42744681,41742.853,40.765
18,100kb.bin,18,QUIC/HTTP3,102459,0.000490,0.000340,0.000270,0.003,40306452,39361.770,38.439
19,100kb.bin,19,QUIC/HTTP3,102459,0.000430,0.000260,0.000330,0.002,43031919,42023.358,41.038
20,100kb.bin,20,QUIC/HTTP3,102459,0.000450,0.000260,0.000400,0.002,42286009,41294.931,40.327
21,100kb.bin,21,QUIC/HTTP3,102459,0.000440,0.000250,0.000420,0.002,42655704,41655.961,40.680
22,100kb.bin,22,QUIC/HTTP3,102459,0.000440,0.000390,0.000330,0.002,41431055,40460.015,39.512
23,100kb.bin,23,QUIC/HTTP3,102459,0.000560,0.000300,0.000270,0.002,42129523,41142.112,40.178
24,100kb.bin,24,QUIC/HTTP3,102459,0.000450,0.000280,0.000350,0.002,42887819,41882.636,40.901
25,100kb.bin,25,QUIC/HTTP3,102459,0.000450,0.000280,0.000340,0.002,42834030,41830.107,40.850
26,100kb.bin,26,QUIC/HTTP3,102459,0.000450,0.000270,0.000390,0.002,42426087,41431.726,40.461
27,100kb.bin,27,QUIC/HTTP3,102459,0.000440,0.000350,0.000280,0.002,43451654,42433.256,41.439
28,100kb.bin,28,QUIC/HTTP3,102459,0.000430,0.000350,0.000280,0.002,42905779,41900.175,40.918
29,100kb.bin,29,QUIC/HTTP3,102459,0.000420,0.000310,0.000250,0.002,44879106,43827.252,42.800
30,100kb.bin,30,QUIC/HTTP3,102459,0.000410,0.000240,0.000220,0.002,46806304,45709.281,44.638
31,100kb.bin,31,QUIC/HTTP3,102459,0.000450,0.000260,0.000380,0.002,42390981,41397.442,40.427
32,100kb.bin,32,QUIC/HTTP3,102459,0.000420,0.000350,0.000250,0.002,44144334,43109.701,42.099
33,100kb.bin,33,QUIC/HTTP3,102459,0.000400,0.000300,0.000240,0.002,45904570,44828.682,43.778
34,100kb.bin,34,QUIC/HTTP3,102459,0.000450,0.000280,0.000390,0.002,42584788,41586.707,40.612
35,100kb.bin,35,QUIC/HTTP3,102459,0.000420,0.000260,0.000390,0.002,43488540,42469.277,41.474
36,100kb.bin,36,QUIC/HTTP3,102459,0.000430,0.000250,0.000390,0.002,43140632,42129.523,41.142
37,100kb.bin,37,QUIC/HTTP3,102459,0.000440,0.000250,0.000370,0.002,43581029,42559.599,41.562
