run_id,timestamp,protocol,http_version,payload,attempt,http_code,size_bytes,time_namelookup_s,time_connect_s,time_appconnect_s,time_pretransfer_s,time_starttransfer_s,time_total_s,speed_Bps,speed_KBps,speed_MBps,num_connects,num_redirects
20260426T211810Z,2026-04-26T21:18:10Z,HTTP/2,2,100kb.bin,1,200,102400,0.000173,0.000225,0.003250,0.003292,0.005590,0.006975,14681003,14336.917,14.001,1,0
20260426T211810Z,2026-04-26T21:18:10Z,HTTP/2,2,100kb.bin,2,200,102400,0.000212,0.000268,0.002647,0.002683,0.003100,0.003283,31190983,30459.944,29.746,1,0
20260426T211810Z,2026-04-26T21:18:10Z,HTTP/2,2,100kb.bin,3,200,102400,0.000271,0.000352,0.002731,0.002780,0.003203,0.003335,30704647,29985.007,29.282,1,0
20260426T211810Z,2026-04-26T21:18:10Z,HTTP/2,2,100kb.bin,4,200,102400,0.000194,0.000246,0.002610,0.002647,0.003014,0.003185,32150706,31397.174,30.661,1,0
20260426T211810Z,2026-04-26T21:18:10Z,HTTP/2,2,100kb.bin,5,200,102400,0.000288,0.000396,0.003496,0.003539,0.004383,0.004617,22178904,21659.086,21.151,1,0
20260426T211810Z,2026-04-26T21:18:10Z,HTTP/2,2,100kb.bin,6,200,102400,0.000405,0.000482,0.003424,0.003495,0.004308,0.004695,21810436,21299.254,20.800,1,0
20260426T211810Z,2026-04-26T21:18:10Z,HTTP/2,2,100kb.bin,7,200,102400,0.000203,0.000258,0.002529,0.002565,0.002922,0.003077,33279168,32499.188,31.737,1,0
20260426T211810Z,2026-04-26T21:18:10Z,HTTP/2,2,100kb.bin,8,200,102400,0.000247,0.000301,0.002624,0.002662,0.002979,0.003101,33021605,32247.661,31.492,1,0
20260426T211810Z,2026-04-26T21:18:10Z,HTTP/2,2,100kb.bin,9,200,102400,0.000202,0.000252,0.002579,0.002613,0.002940,0.003093,33107015,32331.069,31.573,1,0
20260426T211810Z,2026-04-26T21:18:10Z,HTTP/2,2,100kb.bin,10,200,102400,0.000229,0.000284,0.002543,0.002579,0.002898,0.002988,34270414,33467.201,32.683,1,0
20260426T211810Z,2026-04-26T21:18:10Z,HTTP/2,2,100kb.bin,11,200,102400,0.000179,0.000227,0.002463,0.002504,0.002839,0.002964,34547908,33738.191,32.947,1,0
20260426T211810Z,2026-04-26T21:18:10Z,HTTP/2,2,100kb.bin,12,200,102400,0.000177,0.000220,0.002473,0.002507,0.002817,0.003049,33584781,32797.638,32.029,1,0
20260426T211810Z,2026-04-26T21:18:10Z,HTTP/2,2,100kb.bin,13,200,102400,0.000343,0.000403,0.003143,0.003187,0.003636,0.003754,27277570,26638.252,26.014,1,0
20260426T211810Z,2026-04-26T21:18:10Z,HTTP/2,2,100kb.bin,14,200,102400,0.000255,0.000320,0.003668,0.003709,0.004443,0.004552,22495606,21968.365,21.453,1,0
20260426T211810Z,2026-04-26T21:18:10Z,HTTP/2,2,100kb.bin,15,200,102400,0.000286,0.000344,0.002867,0.002917,0.003433,0.003699,27683157,27034.333,26.401,1,0
20260426T211810Z,2026-04-26T21:18:10Z,HTTP/2,2,100kb.bin,16,200,102400,0.000195,0.000247,0.002572,0.002607,0.003083,0.003267,31343740,30609.121,29.892,1,0
20260426T211810Z,2026-04-26T21:18:10Z,HTTP/2,2,100kb.bin,17,200,102400,0.000224,0.000277,0.002637,0.002675,0.003091,0.003250,31507692,30769.230,30.048,1,0
20260426T211810Z,2026-04-26T21:18:10Z,HTTP/2,2,100kb.bin,18,200,102400,0.000177,0.000225,0.002589,0.002627,0.003299,0.003723,27504700,26860.059,26.231,1,0
20260426T211810Z,2026-04-26T21:18:10Z,HTTP/2,2,100kb.bin,19,200,102400,0.000238,0.000290,0.002634,0.002674,0.003067,0.003226,31742095,30998.140,30.272,1,0
20260426T211810Z,2026-04-26T21:18:10Z,HTTP/2,2,100kb.bin,20,200,102400,0.000186,0.000237,0.002857,0.002899,0.003290,0.003407,30055767,29351.335,28.663,1,0
20260426T211810Z,2026-04-26T21:18:10Z,HTTP/2,2,100kb.bin,21,200,102400,0.000233,0.000287,0.002641,0.002678,0.003040,0.003201,31990003,31240.237,30.508,1,0
20260426T211810Z,2026-04-26T21:18:10Z,HTTP/2,2,100kb.bin,22,200,102400,0.000200,0.000249,0.002605,0.002642,0.003035,0.003169,32313032,31555.695,30.816,1,0
20260426T211810Z,2026-04-26T21:18:10Z,HTTP/2,2,100kb.bin,23,200,102400,0.000305,0.000366,0.003437,0.003487,0.003942,0.004122,24842309,24260.067,23.691,1,0
20260426T211810Z,2026-04-26T21:18:10Z,HTTP/2,2,100kb.bin,24,200,102400,0.000223,0.000271,0.002977,0.003019,0.003419,0.003580,28603351,27932.960,27.278,1,0
20260426T211810Z,2026-04-26T21:18:10Z,HTTP/2,2,100kb.bin,25,200,102400,0.000210,0.000259,0.002639,0.002683,0.003065,0.003216,31840796,31094.527,30.366,1,0
20260426T211810Z,2026-04-26T21:18:10Z,HTTP/2,2,100kb.bin,26,200,102400,0.000238,0.000290,0.002772,0.002806,0.003173,0.003326,30787733,30066.146,29.361,1,0
20260426T211810Z,2026-04-26T21:18:10Z,HTTP/2,2,100kb.bin,27,200,102400,0.000200,0.000245,0.002557,0.002590,0.002945,0.003095,33085621,32310.177,31.553,1,0
20260426T211810Z,2026-04-26T21:18:10Z,HTTP/2,2,100kb.bin,28,200,102400,0.000185,0.000233,0.002527,0.002563,0.002916,0.003051,33562766,32776.139,32.008,1,0
20260426T211810Z,2026-04-26T21:18:10Z,HTTP/2,2,100kb.bin,29,200,102400,0.000202,0.000246,0.002591,0.002624,0.003063,0.003363,30449003,29735.354,29.038,1,0
20260426T211810Z,2026-04-26T21:18:10Z,HTTP/2,2,100kb.bin,30,200,102400,0.000199,0.000252,0.002576,0.002612,0.002978,0.003141,32601082,31836.994,31.091,1,0
20260426T211810Z,2026-04-26T21:18:10Z,HTTP/2,2,100kb.bin,31,200,102400,0.000203,0.000252,0.002567,0.002604,0.003003,0.003143,32580337,31816.735,31.071,1,0
20260426T211810Z,2026-04-26T21:18:10Z,HTTP/2,2,100kb.bin,32,200,102400,0.000225,0.000274,0.002580,0.002616,0.002971,0.003119,32831035,32061.558,31.310,1,0
20260426T211810Z,2026-04-26T21:18:10Z,HTTP/2,2,100kb.bin,33,200,102400,0.000341,0.000428,0.002891,0.002930,0.003303,0.003464,29561200,28868.359,28.192,1,0
20260426T211810Z,2026-04-26T21:18:10Z,HTTP/2,2,100kb.bin,34,200,102400,0.000257,0.000308,0.002639,0.002675,0.003155,0.003368,30403800,29691.211,28.995,1,0
20260426T211810Z,2026-04-26T21:18:10Z,HTTP/2,2,100kb.bin,35,200,102400,0.000227,0.000274,0.003341,0.003373,0.003821,0.004015,25504358,24906.600,24.323,1,0
20260426T211810Z,2026-04-26T21:18:10Z,HTTP/2,2,100kb.bin,36,200,102400,0.000209,0.000257,0.002627,0.002668,0.003091,0.003291,31115162,30385.900,29.674,1,0
20260426T211810Z,2026-04-26T21:18:10Z,HTTP/2,2,100kb.bin,37,200,102400,0.000216,0.000265,0.002587,0.002624,0.002970,0.003139,32621854,31857.279,31.111,1,0
20260426T211810Z,2026-04-26T21:18:10Z,HTTP/2,2,100kb.bin,38,200,102400,0.000302,0.000352,0.003005,0.003041,0.003387,0.003608,28381374,27716.186,27.067,1,0
20260426T211810Z,2026-04-26T21:18:10Z,HTTP/2,2,100kb.bin,39,200,102400,0.000204,0.000256,0.002587,0.002621,0.003174,0.003529,29016718,28336.639,27.672,1,0
