run_id,timestamp,protocol,http_version,payload,attempt,http_code,size_bytes,time_namelookup_s,time_connect_s,time_appconnect_s,time_pretransfer_s,time_starttransfer_s,time_total_s,time_to_last_byte_s,body_transfer_s,speed_Bps,speed_KBps,speed_MBps,num_connects,num_redirects
20260426T221325Z,2026-04-26T22:13:25Z,HTTP/1.1,1.1,100kb.bin,1,200,102400,0.000176,0.000225,0.002498,0.002515,0.004004,0.004089,0.004089,0.000085,25042797,24455.856,23.883,1,0
20260426T221325Z,2026-04-26T22:13:25Z,HTTP/1.1,1.1,100kb.bin,2,200,102400,0.000252,0.000318,0.002647,0.002666,0.002993,0.003075,0.003075,0.000082,33300813,32520.325,31.758,1,0
20260426T221325Z,2026-04-26T22:13:25Z,HTTP/1.1,1.1,100kb.bin,3,200,102400,0.000212,0.000264,0.002740,0.002759,0.003083,0.003166,0.003166,0.000083,32343651,31585.597,30.845,1,0
20260426T221325Z,2026-04-26T22:13:25Z,HTTP/1.1,1.1,100kb.bin,4,200,102400,0.000199,0.000258,0.002832,0.002850,0.003253,0.003357,0.003357,0.000104,30503425,29788.501,29.090,1,0
20260426T221325Z,2026-04-26T22:13:25Z,HTTP/1.1,1.1,100kb.bin,5,200,102400,0.000181,0.000228,0.002423,0.002436,0.002756,0.002842,0.002842,0.000086,36030964,35186.488,34.362,1,0
20260426T221325Z,2026-04-26T22:13:25Z,HTTP/1.1,1.1,100kb.bin,6,200,102400,0.000154,0.000199,0.002358,0.002371,0.002620,0.002725,0.002725,0.000105,37577981,36697.247,35.837,1,0
20260426T221325Z,2026-04-26T22:13:25Z,HTTP/1.1,1.1,100kb.bin,7,200,102400,0.000174,0.000218,0.002418,0.002432,0.002726,0.002794,0.002794,0.000068,36649964,35790.980,34.952,1,0
20260426T221325Z,2026-04-26T22:13:25Z,HTTP/1.1,1.1,100kb.bin,8,200,102400,0.000186,0.000242,0.002658,0.002719,0.003117,0.003207,0.003207,0.000090,31930152,31181.789,30.451,1,0
20260426T221325Z,2026-04-26T22:13:25Z,HTTP/1.1,1.1,100kb.bin,9,200,102400,0.000259,0.000318,0.002564,0.002579,0.002837,0.002920,0.002920,0.000083,35068493,34246.575,33.444,1,0
20260426T221325Z,2026-04-26T22:13:25Z,HTTP/1.1,1.1,100kb.bin,10,200,102400,0.000167,0.000217,0.002479,0.002494,0.002755,0.002855,0.002855,0.000100,35866900,35026.270,34.205,1,0
20260426T221325Z,2026-04-26T22:13:25Z,HTTP/1.1,1.1,100kb.bin,11,200,102400,0.000180,0.000229,0.002466,0.002480,0.002753,0.002841,0.002841,0.000088,36043646,35198.873,34.374,1,0
20260426T221325Z,2026-04-26T22:13:25Z,HTTP/1.1,1.1,100kb.bin,12,200,102400,0.000184,0.000232,0.002710,0.002727,0.003166,0.003379,0.003379,0.000213,30304823,29594.554,28.901,1,0
20260426T221325Z,2026-04-26T22:13:25Z,HTTP/1.1,1.1,100kb.bin,13,200,102400,0.000176,0.000231,0.002590,0.002606,0.002901,0.003000,0.003000,0.000099,34133333,33333.333,32.552,1,0
